emp_no,first_name,last_name,birth_date,from_date,to_date,title
14688,Ute,Ullian,1964-10-20,1985-07-06,1985-08-08,Staff
15509,Przemyslawa,Puoti,1962-09-25,1985-08-12,1985-12-09,Engineer
18061,Francesca,Taubman,1953-04-21,1985-05-28,1985-08-24,Engineer
19846,Dinkar,Feldmann,1963-02-19,1985-04-27,1985-08-19,Senior Staff
20018,Yefim,Tramer,1957-03-10,1985-06-10,1985-07-20,Staff
20416,Oddvar,Swiler,1955-07-30,1985-08-07,1985-11-24,Engineer
20869,Stepehn,Straney,1961-02-08,1985-02-17,1985-03-01,Engineer
21610,Dinkar,Spelt,1964-11-02,1985-07-03,1985-10-10,Senior Staff
24861,Kiyokazu,Munoz,1953-02-22,1985-07-14,1985-09-11,Staff
26175,Sibyl,Rullman,1962-03-23,1985-07-08,1985-08-17,Engineer
27727,Heekeun,Rotem,1954-02-07,1985-06-19,1985-11-11,Technique Leader
31006,Serap,Pell,1961-01-11,1985-10-17,1985-11-11,Senior Staff
32851,Khaled,Veeraraghavan,1958-04-28,1985-07-24,1985-09-26,Senior Staff
34059,Bernt,Perz,1962-03-08,1985-02-10,1985-03-23,Senior Engineer
35187,Xiong,Boudaillier,1958-06-13,1985-03-07,1985-07-15,Senior Staff
35249,Mori,Swiss,1959-11-01,1985-02-04,1985-12-07,Senior Staff
35757,Magdalena,Bojadziev,1955-07-06,1985-09-23,1985-09-26,Engineer
41731,Babette,Kalefeld,1962-10-26,1985-06-07,1985-07-28,Senior Engineer
42035,Ute,Wolniewicz,1957-03-16,1985-04-21,1985-09-28,Technique Leader
42980,Karoline,Businaro,1952-05-16,1985-03-26,1985-07-18,Staff
43042,Qingxiang,Luders,1952-05-09,1985-08-19,1985-10-11,Staff
43872,Pranav,Zwicker,1960-07-13,1985-07-13,1985-10-02,Assistant Engineer
43889,Shai,Navazio,1964-10-03,1985-05-22,1985-09-19,Senior Staff
45012,Xinglin,Kushnir,1957-08-08,1985-08-16,1985-12-31,Technique Leader
47126,Jacopo,Vickson,1957-11-11,1985-04-01,1985-10-18,Senior Engineer
48221,Willard,Gist,1954-10-30,1985-10-10,1985-11-28,Senior Engineer
48233,Ugo,Simmel,1954-01-02,1985-05-06,1985-06-27,Staff
56294,Shir,Gyimothy,1963-01-19,1985-10-15,1985-12-23,Staff
57675,Sadegh,Stamatiou,1963-04-08,1985-06-06,1985-12-29,Senior Engineer
62815,Jenwei,Lorch,1960-07-18,1985-10-17,1985-11-17,Staff
